LATITUDE,LONGITUDE,DATE,EVAP,PRCP,TMAX,TMIN
28.7158,-97.1744,20050116,15,0,161,28
28.7158,-97.1744,20050117,30,0,161,6
28.7158,-97.1744,20050118,18,0,161,11
28.7158,-97.1744,20050119,18,0,161,11
28.7158,-97.1744,20050120,15,0,211,83
28.7158,-97.1744,20050121,20,0,233,89
28.7158,-97.1744,20050122,20,0,256,106
28.7158,-97.1744,20050123,8,0,256,17
28.7158,-97.1744,20050124,33,0,256,17
28.7158,-97.1744,20050125,25,0,183,17
28.7158,-97.1744,20050126,30,0,256,61
28.7158,-97.1744,20050127,20,25,267,122
28.7158,-97.1744,20050128,3,206,178,83
28.7158,-97.1744,20050129,8,104,128,89
28.7158,-97.1744,20050130,8,0,128,83
28.7158,-97.1744,20050131,5,13,128,83
28.7158,-97.1744,20050201,5,137,94,67
28.7158,-97.1744,20050202,5,13,94,61
28.7158,-97.1744,20050203,10,0,83,56
28.7158,-97.1744,20050204,18,0,139,56
28.7158,-97.1744,20050205,15,0,139,61
28.7158,-97.1744,20050206,18,0,167,61
28.7158,-97.1744,20050207,8,30,222,61
28.7158,-97.1744,20050208,5,15,206,144
28.7158,-97.1744,20050209,5,8,183,150
28.7158,-97.1744,20050210,13,0,161,61
28.7158,-97.1744,20050211,28,0,156,61
28.7158,-97.1744,20050212,20,0,161,133
